phase mean FPC1 FPC2 FPC3 FPC4
30.5 2.331482 0.158587 -0.08961 -0.026511 -0.158723
30.6 2.337886 0.158279 -0.090778 -0.025453 -0.15745
30.7 2.344039 0.157971 -0.091945 -0.024394 -0.156177
30.8 2.350175 0.157659 -0.093091 -0.023329 -0.154722
30.9 2.356311 0.157347 -0.094237 -0.022264 -0.15326
31 2.362447 0.157035 -0.095382 -0.021198 -0.151798
31.1 2.368583 0.156719 -0.096505 -0.020127 -0.150157
31.2 2.374719 0.156402 -0.097628 -0.019055 -0.148506
31.3 2.380619 0.156086 -0.09875 -0.017983 -0.146856
31.4 2.386486 0.155766 -0.099851 -0.016905 -0.145029
31.5 2.392353 0.155446 -0.100951 -0.015826 -0.143189
31.6 2.398221 0.155126 -0.102051 -0.014747 -0.14135
31.7 2.404088 0.154803 -0.10313 -0.013663 -0.139337
31.8 2.409955 0.154479 -0.104207 -0.012577 -0.137309
31.9 2.415603 0.154154 -0.105284 -0.011492 -0.13528
32 2.421202 0.153827 -0.106341 -0.010401 -0.133082
32.1 2.426801 0.153499 -0.107395 -0.009309 -0.130865
32.2 2.432399 0.153171 -0.108449 -0.008217 -0.128648
32.3 2.437998 0.152839 -0.109484 -0.007119 -0.126263
32.4 2.443597 0.152507 -0.110515 -0.006021 -0.123857
32.5 2.448992 0.152175 -0.111547 -0.004922 -0.121451
32.6 2.454322 0.15184 -0.112559 -0.003818 -0.11888
32.7 2.459653 0.151504 -0.113568 -0.002712 -0.116286
32.8 2.464983 0.151168 -0.114577 -0.001607 -0.113691
32.9 2.470313 0.150829 -0.115567 -0.000496 -0.110934
33 2.475643 0.150489 -0.116553 0.000616 -0.108151
33.1 2.480786 0.150149 -0.117539 0.001727 -0.105368
33.2 2.485848 0.149806 -0.118506 0.002845 -0.102425
33.3 2.490909 0.149462 -0.11947 0.003963 -0.099453
33.4 2.495971 0.149119 -0.120434 0.005082 -0.096481
33.5 2.501032 0.148771 -0.121378 0.006206 -0.093352
33.6 2.506094 0.148424 -0.122319 0.007331 -0.090191
33.7 2.51099 0.148076 -0.12326 0.008456 -0.08703
33.8 2.515793 0.147725 -0.124183 0.009587 -0.083716
33.9 2.520595 0.147373 -0.125101 0.010718 -0.080367
34 2.525398 0.147022 -0.126019 0.01185 -0.077018
34.1 2.5302 0.146675 -0.126913 0.01294 -0.073613
34.2 2.535003 0.14633 -0.1278 0.01402 -0.070194
34.3 2.539706 0.145985 -0.128687 0.0151 -0.066775
34.4 2.544336 0.145652 -0.129544 0.016105 -0.063373
34.5 2.548966 0.145322 -0.130394 0.017088 -0.059976
34.6 2.553596 0.144992 -0.131243 0.018072 -0.056579
34.7 2.558226 0.144673 -0.132063 0.018982 -0.053199
34.8 2.562856 0.144357 -0.132875 0.019869 -0.049824
34.9 2.567408 0.144042 -0.133686 0.020756 -0.046449
35 2.571886 0.143738 -0.13447 0.021571 -0.043091
35.1 2.576365 0.143437 -0.135244 0.022362 -0.039739
35.2 2.580844 0.143137 -0.136017 0.023153 -0.036386
35.3 2.585323 0.142847 -0.136763 0.023872 -0.03305
35.4 2.589801 0.142561 -0.1375 0.024567 -0.029719
35.5 2.594211 0.142276 -0.138236 0.025261 -0.026388
