phase mean FPC1 FPC2 FPC3 FPC4
33.8 0.838241 0.198425 -0.089479 0.001343 -0.011525
33.9 0.842917 0.198555 -0.089763 0.00399 -0.008803
34 0.847594 0.198686 -0.090046 0.006636 -0.006081
34.1 0.852271 0.198799 -0.090235 0.009206 -0.003443
34.2 0.856948 0.198907 -0.090399 0.011757 -0.000826
34.3 0.861694 0.199016 -0.090563 0.014307 0.001791
34.4 0.866493 0.199114 -0.090673 0.016731 0.004297
34.5 0.871291 0.19921 -0.090767 0.01912 0.006771
34.6 0.87609 0.199305 -0.090861 0.021509 0.009245
34.7 0.880888 0.199391 -0.090902 0.023774 0.011609
34.8 0.885687 0.199473 -0.090926 0.026001 0.01394
34.9 0.89054 0.199555 -0.09095 0.028228 0.016272
35 0.895444 0.199628 -0.090921 0.030333 0.018495
35.1 0.900348 0.199697 -0.090875 0.032399 0.020683
35.2 0.905252 0.199766 -0.090829 0.034464 0.022871
35.3 0.910156 0.199825 -0.090731 0.03641 0.024953
35.4 0.91506 0.199881 -0.090615 0.038313 0.026998
35.5 0.920012 0.199937 -0.090499 0.040217 0.029043
35.6 0.925022 0.199983 -0.090332 0.042004 0.030985
35.7 0.930031 0.200026 -0.090146 0.043746 0.032887
35.8 0.935041 0.200069 -0.08996 0.045488 0.034788
