phase mean FPC1 FPC2 FPC3 FPC4
28.2 1.275304 -0.221124 0.06244 -0.001538 -0.114895
28.3 1.279072 -0.221541 0.06496 -0.003036 -0.110995
28.4 1.282842 -0.221959 0.067481 -0.004534 -0.107095
28.5 1.286621 -0.222364 0.069928 -0.005964 -0.103051
28.6 1.2904 -0.222759 0.072323 -0.007345 -0.0989
28.7 1.294179 -0.223152 0.074709 -0.008719 -0.094733
28.8 1.297958 -0.223524 0.076977 -0.009983 -0.090331
28.9 1.301739 -0.223896 0.079246 -0.011247 -0.08593
29 1.305537 -0.224256 0.081444 -0.012446 -0.081389
29.1 1.309335 -0.224605 0.083587 -0.013593 -0.076737
29.2 1.313133 -0.224953 0.085724 -0.014736 -0.072077
29.3 1.316932 -0.225277 0.08775 -0.01579 -0.067242
29.4 1.320745 -0.225602 0.089775 -0.016843 -0.062407
29.5 1.324796 -0.225908 0.091756 -0.017889 -0.0576
29.6 1.328847 -0.226199 0.093697 -0.018928 -0.052819
29.7 1.332898 -0.22649 0.095637 -0.019967 -0.048039
29.8 1.336949 -0.226747 0.097497 -0.021 -0.043333
29.9 1.341004 -0.227004 0.099356 -0.022033 -0.038627
30 1.345415 -0.227244 0.101174 -0.023062 -0.033958
30.1 1.349827 -0.227468 0.102952 -0.024088 -0.029327
30.2 1.354238 -0.227691 0.10473 -0.025114 -0.024697
30.3 1.35865 -0.227881 0.106427 -0.026134 -0.02014
30.4 1.363061 -0.228071 0.108123 -0.027153 -0.015585
30.5 1.367819 -0.228244 0.10978 -0.02817 -0.011065
30.6 1.372591 -0.2284 0.111395 -0.029183 -0.006585
30.7 1.377363 -0.228556 0.113009 -0.030196 -0.002105
30.8 1.382135 -0.228679 0.114545 -0.031202 0.002303
30.9 1.386907 -0.228801 0.116078 -0.032209 0.006708
31 1.392007 -0.228908 0.117574 -0.033212 0.011078
31.1 1.39714 -0.228996 0.119026 -0.034212 0.015408
31.2 1.402273 -0.229085 0.120477 -0.035212 0.019738
31.3 1.407406 -0.229141 0.121852 -0.036205 0.023997
31.4 1.412538 -0.229195 0.123221 -0.037199 0.028251
31.5 1.417981 -0.229235 0.124556 -0.038189 0.032473
31.6 1.423474 -0.229256 0.125844 -0.039176 0.036652
31.7 1.428967 -0.229277 0.127132 -0.040162 0.040831
31.8 1.434461 -0.229266 0.128346 -0.041143 0.044941
31.9 1.439954 -0.229253 0.129552 -0.042123 0.049045
32 1.445739 -0.229226 0.130726 -0.043101 0.053119
32.1 1.451593 -0.229179 0.131851 -0.044074 0.057147
32.2 1.457447 -0.229132 0.132976 -0.045048 0.061176
32.3 1.463301 -0.229055 0.134028 -0.046015 0.065137
32.4 1.469155 -0.228975 0.135071 -0.046982 0.06909
32.5 1.475277 -0.228881 0.136084 -0.047947 0.073015
32.6 1.481486 -0.228766 0.137045 -0.048907 0.076893
32.7 1.487694 -0.228652 0.138007 -0.049867 0.080771
32.8 1.493903 -0.22851 0.138897 -0.05082 0.084568
32.9 1.500111 -0.228364 0.139776 -0.051771 0.088353
33 1.506337 -0.228213 0.140623 -0.052711 0.092056
33.1 1.512569 -0.228054 0.141411 -0.053633 0.095611
33.2 1.518801 -0.227895 0.142198 -0.054555 0.099165
33.3 1.525033 -0.227728 0.142908 -0.055448 0.1025
33.4 1.531266 -0.227559 0.143602 -0.056335 0.105793
33.5 1.537384 -0.227387 0.144267 -0.057212 0.109
33.6 1.543443 -0.227209 0.144868 -0.058065 0.112031
33.7 1.549502 -0.227032 0.145469 -0.058918 0.115062
