phase mean FPC1 FPC2 FPC3 FPC4
34.2 1.677685 0.163941 -0.095611 -0.009898 -0.127609
34.3 1.682305 0.163871 -0.096751 -0.01015 -0.122991
34.4 1.686851 0.163809 -0.097849 -0.010453 -0.118455
34.5 1.691397 0.163749 -0.098935 -0.01077 -0.113942
34.6 1.695943 0.163689 -0.100021 -0.011086 -0.109429
34.7 1.700489 0.163636 -0.101066 -0.011453 -0.104996
34.8 1.705035 0.163586 -0.102098 -0.011835 -0.100588
34.9 1.709498 0.163535 -0.10313 -0.012217 -0.09618
35 1.713882 0.163492 -0.104122 -0.012649 -0.091852
35.1 1.718266 0.163451 -0.1051 -0.013096 -0.087549
35.2 1.72265 0.16341 -0.106078 -0.013543 -0.083246
35.3 1.727034 0.163375 -0.107016 -0.014038 -0.079021
35.4 1.731418 0.163344 -0.10794 -0.014551 -0.074823
35.5 1.735728 0.163312 -0.108864 -0.015063 -0.070626
35.6 1.73995 0.163287 -0.10975 -0.015623 -0.066504
35.7 1.744172 0.163265 -0.11062 -0.0162 -0.062412
35.8 1.748394 0.163243 -0.11149 -0.016778 -0.05832
35.9 1.752616 0.163227 -0.112322 -0.017402 -0.054302
36 1.756838 0.163214 -0.113138 -0.018045 -0.050314
